value,variable,units,years_post,treatment,study,forest_type,region,burn_season,thin_type,other,other2
0.34,fwd,kg/m2,12,control,hood,ponderosa,interior_pnw,NA,NA,NA,NA
0.33,fwd,kg/m2,22,control,hood,ponderosa,interior_pnw,NA,NA,NA,NA
0.63,fwd,kg/m2,12,thin,hood,ponderosa,interior_pnw,NA,commercial,NA,NA
0.33,fwd,kg/m2,22,thin,hood,ponderosa,interior_pnw,NA,commercial,NA,NA
0.82,fwd,kg/m2,0,thinburn,hood,ponderosa,interior_pnw,spring,commercial,NA,NA
0.46,fwd,kg/m2,1,thinburn,hood,ponderosa,interior_pnw,spring,commercial,NA,NA
0.33,fwd,kg/m2,12,thinburn,hood,ponderosa,interior_pnw,spring,commercial,NA,NA
0.28,fwd,kg/m2,22,thinburn,hood,ponderosa,interior_pnw,spring,commercial,NA,NA
0.69,fwd,kg/m2,0,thinburn,hood,ponderosa,interior_pnw,fall,commercial,NA,NA
0.35,fwd,kg/m2,1,thinburn,hood,ponderosa,interior_pnw,fall,commercial,NA,NA
0.41,fwd,kg/m2,12,thinburn,hood,ponderosa,interior_pnw,fall,commercial,NA,NA
0.20,fwd,kg/m2,22,thinburn,hood,ponderosa,interior_pnw,fall,commercial,NA,NA
0.57,fwd,kg/m2,12,control,hood,ponderosa,interior_pnw,NA,NA,NA,NA
0.53,fwd,kg/m2,22,control,hood,ponderosa,interior_pnw,NA,NA,NA,NA
0.86,fwd,kg/m2,12,thin,hood,ponderosa,interior_pnw,NA,shelterwood,NA,NA
0.56,fwd,kg/m2,22,thin,hood,ponderosa,interior_pnw,NA,shelterwood,NA,NA
0.95,fwd,kg/m2,0,thinburn,hood,ponderosa,interior_pnw,spring,shelterwood,wet burn,NA
0.44,fwd,kg/m2,1,thinburn,hood,ponderosa,interior_pnw,spring,shelterwood,wet burn,NA
0.58,fwd,kg/m2,12,thinburn,hood,ponderosa,interior_pnw,spring,shelterwood,wet burn,NA
0.31,fwd,kg/m2,22,thinburn,hood,ponderosa,interior_pnw,spring,shelterwood,wet burn,NA
1.14,fwd,kg/m2,0,thinburn,hood,ponderosa,interior_pnw,spring,shelterwood,dry burn,NA
0.62,fwd,kg/m2,1,thinburn,hood,ponderosa,interior_pnw,spring,shelterwood,dry burn,NA
0.48,fwd,kg/m2,12,thinburn,hood,ponderosa,interior_pnw,spring,shelterwood,dry burn,NA
0.42,fwd,kg/m2,22,thinburn,hood,ponderosa,interior_pnw,spring,shelterwood,dry burn,NA
0.86,cwd,kg/m2,12,control,hood,ponderosa,interior_pnw,NA,NA,NA,NA
0.43,cwd,kg/m2,22,control,hood,ponderosa,interior_pnw,NA,NA,NA,NA
1.43,cwd,kg/m2,12,thin,hood,ponderosa,interior_pnw,NA,commercial,NA,NA
0.52,cwd,kg/m2,22,thin,hood,ponderosa,interior_pnw,NA,commercial,NA,NA
1.32,cwd,kg/m2,0,thinburn,hood,ponderosa,interior_pnw,spring,commercial,NA,NA
0.45,cwd,kg/m2,1,thinburn,hood,ponderosa,interior_pnw,spring,commercial,NA,NA
0.47,cwd,kg/m2,12,thinburn,hood,ponderosa,interior_pnw,spring,commercial,NA,NA
0.31,cwd,kg/m2,22,thinburn,hood,ponderosa,interior_pnw,spring,commercial,NA,NA
0.88,cwd,kg/m2,0,thinburn,hood,ponderosa,interior_pnw,fall,commercial,NA,NA
0.11,cwd,kg/m2,1,thinburn,hood,ponderosa,interior_pnw,fall,commercial,NA,NA
0.50,cwd,kg/m2,12,thinburn,hood,ponderosa,interior_pnw,fall,commercial,NA,NA
0.47,cwd,kg/m2,22,thinburn,hood,ponderosa,interior_pnw,fall,commercial,NA,NA
1.49,cwd,kg/m2,12,control,hood,ponderosa,interior_pnw,NA,NA,NA,NA
1.47,cwd,kg/m2,22,control,hood,ponderosa,interior_pnw,NA,NA,NA,NA
1.09,cwd,kg/m2,12,thin,hood,ponderosa,interior_pnw,NA,shelterwood,NA,NA
1.63,cwd,kg/m2,22,thin,hood,ponderosa,interior_pnw,NA,shelterwood,NA,NA
0.41,cwd,kg/m2,0,thinburn,hood,ponderosa,interior_pnw,spring,shelterwood,wet burn,NA
0.13,cwd,kg/m2,1,thinburn,hood,ponderosa,interior_pnw,spring,shelterwood,wet burn,NA
1.46,cwd,kg/m2,12,thinburn,hood,ponderosa,interior_pnw,spring,shelterwood,wet burn,NA
0.68,cwd,kg/m2,22,thinburn,hood,ponderosa,interior_pnw,spring,shelterwood,wet burn,NA
0.71,cwd,kg/m2,0,thinburn,hood,ponderosa,interior_pnw,spring,shelterwood,dry burn,NA
0.13,cwd,kg/m2,1,thinburn,hood,ponderosa,interior_pnw,spring,shelterwood,dry burn,NA
1.13,cwd,kg/m2,12,thinburn,hood,ponderosa,interior_pnw,spring,shelterwood,dry burn,NA
0.77,cwd,kg/m2,22,thinburn,hood,ponderosa,interior_pnw,spring,shelterwood,dry burn,NA
4.17,litterduff,kg/m2,12,control,hood,ponderosa,interior_pnw,NA,NA,NA,NA
2.08,litterduff,kg/m2,22,control,hood,ponderosa,interior_pnw,NA,NA,NA,NA
2.46,litterduff,kg/m2,12,thin,hood,ponderosa,interior_pnw,NA,commercial,NA,NA
1.57,litterduff,kg/m2,22,thin,hood,ponderosa,interior_pnw,NA,commercial,NA,NA
2.26,litterduff,kg/m2,0,thinburn,hood,ponderosa,interior_pnw,spring,commercial,NA,NA
1.32,litterduff,kg/m2,1,thinburn,hood,ponderosa,interior_pnw,spring,commercial,NA,NA
